"brand_name","product_name","for_username","overall_videos_viewcount_of_channel","subscribers_channel","first_five_video_avg_of_channel","engagement_rate_of_channel","video_views","video_duration","category","video_type","video_cost"
"mStock","mStock Trading App","@moneytalkswithpayal","6548590","79000","1277","1.6","7522","2024-08-16 00:13:03","Finance","Dedicated","13000"
"mStock","mStock Trading App","@7dreamsindiaofficial","8492641","228000","2247","1","2906","2024-08-16 00:13:16","Finance","Integrated","15000"
"mStock","mStock Trading App","@digitalshashank","1392783","302000","48070","15.9","42062","2024-08-16 00:10:05","Earning","Integrated","5000"
"mStock","mStock Trading App","@theharshdalal","5699665","68900","1826","2.7","1292","2024-08-16 00:13:27","Trading","Dedicated","10000"
"mStock","mStock Trading App","@chaudharytips06","1388772","126000","16063","12.7","22455","2024-08-16 00:06:42","Earning","Dedicated","13500"
"mStock","mStock Trading App","@earningbeast99","5478372","84200","8929","10.6","7006","2024-08-16 00:05:52","Earning","Integrated","5000"
"mStock","mStock Trading App","@swingtradertheartoflearning","31263073","91800","6554","7.1","15687","2024-08-16 00:19:55","Finance","Integrated","5000"
"mStock","mStock Trading App","@earningvillagee","7421189","122000","36112","29.6","32976","2024-08-16 00:08:37","Earning","Integrated","3300"
"mStock","mStock Trading App","@harshearningtips","23009064","103000","16643","16.2","27449","2024-08-16 00:08:03","Earning","Integrated","4000"
"mStock","mStock Trading App","@kingkeplernetwork","16996873","287000","22487","7.8","473","2024-08-16 00:21:42","Trading","Dedicated","12000"
"mStock","mStock Trading App","@mtechupdate3090","13530188","167000","17905","10.7","27357","2024-08-16 00:06:13","Earning","Integrated","4000"
"mStock","mStock Trading App","@viveksinghrana51","21449259","177000","3027","1.7","4018","2024-08-16 00:10:09","Finance","Dedicated","6000"
"mStock","mStock Trading App","@investwiddeepak","5850721","67200","13984","20.8","16253","2024-08-16 00:12:53","Finance","Integrated","13000"
"mStock","mStock Trading App","@shrija","1927438","52300","15908","30.4","16847","2024-08-16 00:10:23","Finance","Dedicated","18000"
"mStock","mStock Trading App","@missionmarketchannel","29256205","126000","11106","8.8","6552","2024-08-16 00:14:38","Finance","Dedicated","10000"
"mStock","mStock Trading App","@sharemarketinkannada","3266551","32100","1397","4.4","2257","2024-08-16 00:10:55","Trading","Integrated","2500"
"mStock","mStock Trading App","@stocksforself","16958571","79900","2789","3.5","3531","2024-08-16 00:10:45","Trading","Integrated","6600"
"mStock","mStock Trading App","@thebullofdalalstreet","5335716","57100","1671","2.9","22758","2024-08-16 00:12:53","Finance","Integrated","20000"
"mStock","mStock Trading App","@techbengalikutty","29807378","210000","11342","5.4","8976","2024-08-16 00:07:54","Tech","Integrated","10000"
"mStock","mStock Trading App","@etechpandaji","2885968","274000","19735","7.2","32396","2024-08-16 00:05:57","Earning","Integrated","4000"
"mStock","mStock Trading App","@cuteupdate","736862","107000","10038","9.4","8615","2024-08-16 00:05:21","Earning","Integrated","2500"
"mStock","mStock Trading App","@himanshutrader","946953","25800","2051","8","1307","2024-08-16 00:10:01","Finance","Integrated","10000"
"mStock","mStock Trading App","@sharemarketanalysis","62896131","258000","2044","0.8","5290","2024-08-16 00:06:06","Finance","Integrated","9000"
"mStock","mStock Trading App","@shubh_kadam__","2636947","43400","1281","3","1578","2024-08-16 00:19:01","Finance","Dedicated","7000"
"mStock","mStock Trading App","@hitechsharmaji2539","1612253","112000","17431","15.6","10593","2024-08-16 00:06:16","Earning","Integrated","3700"
"mStock","mStock Trading App","@digitalshashank","1392783","302000","48070","15.9","26895","2024-08-16 00:07:51","Earning","Integrated","5000"
"mStock","mStock Trading App","@earningbeast99","5478372","84200","8929","10.6","7155","2024-08-16 00:06:24","Earning","Integrated","5000"
"mStock","mStock Trading App","@sharetradeepoint","1941116","51700","6497","12.6","3032","2024-08-16 00:08:31","Finance","Dedicated","2500"
"mStock","mStock Trading App","@chargingpointhindi","29134952","237000","18893","8","20774","2024-08-16 00:09:34","Finance","Integrated","7000"
"mStock","mStock Trading App","@cashitijgupta","17672095","123000","4111","3.3","9145","2024-08-16 00:11:23","Trading","Integrated","10000"
"mStock","mStock Trading App","@moneytalkswithpayal","6548590","79000","1278","1.6","6301","2024-08-16 00:14:54","Finance","Dedicated","13000"
"mStock","mStock Trading App","@moneyinspires7417","4418004","169000","28440","16.8","12432","2024-08-16 00:06:48","Earning","Integrated","3000"
"mStock","mStock Trading App","@7dreamsindiaofficial","8492641","228000","2247","1","6535","2024-08-16 00:15:03","Finance","Integrated","15000"
"mStock","mStock Trading App","@kingkeplernetwork","16996873","287000","22487","7.8","513","2024-08-16 00:26:02","Trading","Dedicated","12000"
"mStock","mStock Trading App","@theharshdalal","5699665","68900","1826","2.7","4968","2024-08-16 00:13:56","Trading","Dedicated","10000"
"mStock","mStock Trading App","@youricircle","148677235","256000","25916","10.1","25286","2024-08-16 00:08:06","Tech","Integrated","22000"
"mStock","mStock Trading App","@top5bestlaptop","50407793","237000","6267","2.6","39428","2024-08-16 00:10:04","Tech","Integrated","9000"
"mStock","mStock Trading App","@masterminitech","69914366","318000","13889","4.4","28158","2024-08-16 00:13:35","Tech","Integrated","15000"
"mStock","mStock Trading App","@madangaikwad","84988626","295000","33671","11.4","79596","2024-08-16 00:23:08","Tech","Integrated","20000"
"mStock","mStock Trading App","@sharemarketinkannada","3266551","32100","1397","4.4","2292","2024-08-16 00:11:42","Trading","Integrated","2500"
"mStock","mStock Trading App","@himanshutrader","946953","25800","2051","8","2212","2024-08-16 00:06:49","Finance","Dedicated","10000"
"mStock","mStock Trading App","@harshearningtips","23009064","103000","16643","16.2","24428","2024-08-16 00:07:11","Earning","Integrated","4000"
"mStock","mStock Trading App","@mtechupdate3090","13530188","167000","17905","10.7","25829","2024-08-16 00:07:23","Earning","Integrated","4000"
"mStock","mStock Trading App","@etechpandaji","2885968","274000","19735","7.2","31307","2024-08-16 00:06:34","Earning","Integrated","4000"
"mStock","mStock Trading App","@stockmarketbadshah","23658119","115000","1119","1","3461","2024-08-16 00:10:06","Finance","Dedicated","7000"
"mStock","mStock Trading App","@ankitjain05","8370906","68600","3362","4.9","4475","2024-08-16 00:09:23","Finance","Dedicated","15000"
"mStock","mStock Trading App","@moneytalkswithpayal","6548590","79000","1278","1.6","4344","2024-08-16 00:08:49","Finance","Dedicated","13000"
"mStock","mStock Trading App","@info_mindset","7172","149","25030","16798.9","165568","2024-08-16 00:12:55","Finance","Integrated","15000"
"mStock","mStock Trading App","@transitbites","79193944","355000","112323","31.6","100207","2024-08-16 00:32:36","Lifestyle","Integrated","15000"
"mStock","mStock Trading App","@_techibee","44465663","123000","14367","11.7","16674","2024-08-16 00:10:40","Tech","Integrated","5000"
"mStock","mStock Trading App","@moneysolution","22275901","160000","12811","8","10932","2024-08-16 00:10:23","Finance","Dedicated","20000"
"mStock","mStock Trading App","@sharemarketanalysis","62896131","258000","2045","0.8","3317","2024-08-16 00:05:21","Finance","Integrated","9000"
"mStock","mStock Trading App","@tech_iela","73588760","447000","11487","2.6","3436","2024-08-16 00:04:13","Tech","Integrated","20000"
"mStock","mStock Trading App","@shubh_kadam__","2636947","43400","1281","3","2753","2024-08-16 00:19:19","Finance","Integrated","7000"
"mStock","mStock Trading App","@sharemarketinkannada","3266551","32100","1397","4.4","2554","2024-08-16 00:12:08","Trading","Integrated","2500"
"mStock","mStock Trading App","@swingtradertheartoflearning","31263073","91800","6556","7.1","12922","2024-08-16 00:12:14","Finance","Integrated","5000"
"mStock","mStock Trading App","@theharshdalal","5699665","68900","1826","2.7","2269","2024-08-16 00:11:49","Trading","Dedicated","10000"
"mStock","mStock Trading App","@money_matters","7969650","140000","14329","10.2","28389","2024-08-16 00:26:07","Finance","Integrated","8500"
"mStock","mStock Trading App","@siddharthbhat09","706802","13600","4728","34.8","3181","2024-08-16 00:16:19","Finance","Integrated","8000"
"mStock","mStock Trading App","@stocksforself","16958571","79900","2789","3.5","7610","2024-08-16 00:11:15","Trading","Integrated","6600"
"mStock","mStock Trading App","@alwaysgrow","593626","8530","1275","15","2098","2024-08-16 00:11:40","Trading","Integrated","3500"
"mStock","mStock Trading App","@investingsimplify","1086635","22400","3561","15.9","2039","2024-08-16 00:12:46","Stock Market","Integrated","10000"
"mStock","mStock Trading App","@tradesmartly","442903","8950","2794","31.2","3923","2024-08-16 00:56:42","Trading","Integrated","3000"
"mStock","mStock Trading App","@digitalxpt","689105","14400","6455","44.8","2938","2024-08-16 00:20:30","Stock Market","Integrated","10000"
"mStock","mStock Trading App","@officialsandeepmishra","17707526","144000","8993","6.2","4920","2024-08-16 00:13:08","Trading","Dedicated","15000"
"mStock","mStock Trading App","@digitechpraveenhere","4304921","69000","16658","24.1","17817","2024-08-16 00:11:49","Earning","Integrated","15000"
"mStock","mStock Trading App","@investright7943","9579927","131000","20010","15.3","3590","2024-08-16 00:12:20","Finance","Integrated","9000"
"mStock","mStock Trading App","@pankilmaheshwari","1050626","25600","6607","25.8","16685","2024-08-16 00:13:57","Stock Market","Integrated","4000"
"mStock","mStock Trading App","@swingtradertheartoflearning","31263073","91800","6556","7.1","10133","2024-08-16 00:13:17","Finance","Integrated","5000"
"mStock","mStock Trading App","@moneytalkswithpayal","6548590","79000","1278","1.6","5798","2024-08-16 00:11:23","Finance","Dedicated","13000"
"mStock","mStock Trading App","@stockmartpro","7222969","77900","3424","4.4","19425","2024-08-16 00:14:36","Stock Market","Integrated","8000"
